Age,Tenure,MonthlyCharges,SupportCalls,ContractType,InternetService,PaymentMethod,Churn
56,16,38.19,4,Yearly,Fiber,Bank Transfer,No
69,39,54.57,2,Yearly,DSL,Credit Card,No
46,5,109.68,1,Yearly,Fiber,Credit Card,Yes
32,22,67.4,8,Yearly,DSL,Bank Transfer,Yes
60,29,86.76,8,Yearly,DSL,Credit Card,Yes
25,55,37.23,0,Monthly,None,Credit Card,No
38,3,39.23,2,Monthly,Fiber,Electronic Check,No
56,12,24.09,7,Two-Year,Fiber,Electronic Check,Yes
36,26,36.89,5,Yearly,DSL,Bank Transfer,No
40,16,47.86,4,Yearly,Fiber,Bank Transfer,Yes
28,51,37.7,4,Monthly,DSL,Credit Card,No
28,37,28.87,5,Monthly,DSL,Electronic Check,Yes
41,22,32.06,6,Yearly,None,Bank Transfer,No
53,57,66.08,0,Two-Year,Fiber,Bank Transfer,Yes
57,29,40.63,8,Yearly,Fiber,Bank Transfer,Yes
41,14,56.43,2,Two-Year,DSL,Bank Transfer,Yes
20,28,70.34,3,Yearly,None,Bank Transfer,No
39,5,89.04,0,Monthly,Fiber,Bank Transfer,Yes
19,47,23.93,2,Monthly,Fiber,Credit Card,No
41,49,99.94,1,Monthly,Fiber,Electronic Check,Yes
61,30,82.79,1,Monthly,DSL,Electronic Check,Yes
47,46,28.18,0,Two-Year,DSL,Bank Transfer,No
55,52,107.36,7,Monthly,Fiber,Electronic Check,Yes
19,5,112.09,2,Yearly,DSL,Electronic Check,Yes
38,12,26.11,2,Monthly,DSL,Electronic Check,Yes
50,16,47.69,5,Monthly,None,Bank Transfer,Yes
29,26,100.62,7,Monthly,Fiber,Bank Transfer,Yes
39,26,94.83,8,Monthly,Fiber,Electronic Check,Yes
61,48,38.45,8,Yearly,Fiber,Electronic Check,Yes
42,21,40.93,3,Monthly,Fiber,Bank Transfer,Yes
66,39,57.05,4,Yearly,DSL,Credit Card,No
44,36,68.45,1,Monthly,DSL,Electronic Check,Yes
59,33,81.83,8,Monthly,DSL,Credit Card,Yes
45,30,56.89,7,Monthly,DSL,Electronic Check,Yes
33,37,66.25,2,Yearly,Fiber,Credit Card,Yes
32,23,94.75,8,Yearly,DSL,Credit Card,Yes
64,58,23.67,2,Monthly,Fiber,Credit Card,Yes
68,10,45.24,8,Monthly,DSL,Bank Transfer,Yes
61,54,91.33,1,Yearly,DSL,Credit Card,Yes
69,5,109.52,8,Monthly,Fiber,Credit Card,Yes
20,36,71.17,7,Monthly,DSL,Credit Card,Yes
54,34,73.21,8,Two-Year,DSL,Electronic Check,Yes
68,52,30.72,4,Yearly,DSL,Credit Card,No
24,31,64.74,1,Monthly,DSL,Electronic Check,Yes
38,10,73.26,7,Two-Year,Fiber,Credit Card,Yes
26,58,44.25,5,Yearly,DSL,Credit Card,Yes
56,19,46.92,7,Monthly,DSL,Bank Transfer,Yes
35,58,57.73,4,Yearly,Fiber,Electronic Check,Yes
21,32,22.01,1,Yearly,DSL,Credit Card,No
42,1,52.21,5,Monthly,None,Electronic Check,Yes
31,56,41.14,4,Monthly,Fiber,Electronic Check,Yes
67,5,52.75,4,Monthly,Fiber,Bank Transfer,Yes
26,45,31.98,0,Yearly,Fiber,Bank Transfer,No
43,4,109.05,1,Monthly,DSL,Bank Transfer,Yes
19,16,79.36,7,Two-Year,Fiber,Bank Transfer,Yes
37,24,87.91,2,Yearly,DSL,Bank Transfer,Yes
45,16,98.92,2,Monthly,None,Bank Transfer,Yes
64,55,69.84,7,Yearly,DSL,Bank Transfer,Yes
24,2,28.69,7,Monthly,Fiber,Bank Transfer,Yes
61,49,73.71,1,Yearly,Fiber,Credit Card,No
25,28,78.68,7,Yearly,DSL,Electronic Check,Yes
64,32,94.54,0,Monthly,DSL,Bank Transfer,Yes
52,27,63.17,5,Monthly,Fiber,Bank Transfer,Yes
31,20,32.76,7,Monthly,Fiber,Electronic Check,Yes
34,24,48.38,2,Monthly,DSL,Credit Card,Yes
53,12,56.31,7,Monthly,Fiber,Electronic Check,Yes
67,50,84.59,0,Monthly,None,Electronic Check,Yes
57,35,77.08,8,Two-Year,None,Bank Transfer,Yes
21,60,55.61,8,Monthly,DSL,Electronic Check,Yes
19,33,118.65,4,Monthly,Fiber,Electronic Check,Yes
23,33,80.58,3,Yearly,DSL,Bank Transfer,Yes
59,51,43.72,5,Monthly,None,Bank Transfer,Yes
21,43,30.18,6,Two-Year,Fiber,Bank Transfer,No
46,37,35.29,4,Yearly,DSL,Bank Transfer,No
35,12,44.6,8,Yearly,Fiber,Electronic Check,Yes
43,3,36.07,2,Monthly,DSL,Electronic Check,Yes
61,1,38.66,6,Monthly,None,Credit Card,Yes
51,33,48.51,4,Monthly,None,Credit Card,No
27,40,37.34,6,Two-Year,Fiber,Electronic Check,No
53,10,109.68,1,Monthly,DSL,Credit Card,Yes
31,43,28.02,3,Monthly,Fiber,Electronic Check,Yes
48,44,72.45,1,Two-Year,DSL,Credit Card,Yes
65,29,61.04,6,Monthly,DSL,Bank Transfer,Yes
32,13,118.24,1,Monthly,Fiber,Credit Card,Yes
25,12,31.2,0,Monthly,DSL,Bank Transfer,No
31,31,59.79,8,Two-Year,DSL,Bank Transfer,Yes
40,46,116.95,0,Monthly,None,Bank Transfer,Yes
57,2,106.55,7,Yearly,DSL,Bank Transfer,Yes
38,51,101.71,1,Yearly,DSL,Credit Card,Yes
33,50,45.79,7,Monthly,None,Electronic Check,Yes
62,35,37.09,2,Yearly,DSL,Bank Transfer,Yes
35,23,86.86,5,Monthly,Fiber,Credit Card,Yes
64,17,112.94,2,Monthly,None,Bank Transfer,Yes
41,26,75.68,6,Yearly,None,Credit Card,Yes
43,8,77.16,8,Two-Year,Fiber,Credit Card,Yes
42,29,48.0,1,Yearly,DSL,Credit Card,Yes
62,26,96.95,4,Yearly,DSL,Electronic Check,Yes
58,10,38.7,5,Monthly,Fiber,Credit Card,Yes
46,26,52.37,3,Monthly,None,Credit Card,Yes
32,34,62.54,3,Monthly,Fiber,Electronic Check,Yes
62,51,70.76,3,Monthly,DSL,Electronic Check,Yes
18,41,44.24,1,Monthly,DSL,Credit Card,No
42,7,31.48,3,Monthly,DSL,Electronic Check,Yes
24,4,81.06,0,Monthly,Fiber,Bank Transfer,Yes
26,58,48.86,5,Monthly,Fiber,Bank Transfer,Yes
41,53,78.12,0,Yearly,None,Electronic Check,Yes
18,50,35.44,5,Two-Year,Fiber,Electronic Check,Yes
61,45,68.11,0,Monthly,DSL,Credit Card,Yes
25,11,73.26,5,Two-Year,Fiber,Electronic Check,Yes
41,29,25.18,7,Two-Year,Fiber,Credit Card,Yes
28,56,53.66,1,Monthly,Fiber,Bank Transfer,No
68,36,33.44,1,Yearly,Fiber,Electronic Check,Yes
34,25,26.34,3,Yearly,Fiber,Credit Card,No
25,21,119.0,2,Yearly,Fiber,Credit Card,Yes
52,57,52.24,3,Monthly,DSL,Bank Transfer,Yes
52,36,100.99,6,Yearly,DSL,Electronic Check,Yes
50,10,45.46,0,Monthly,Fiber,Bank Transfer,Yes
22,37,88.15,5,Yearly,DSL,Credit Card,Yes
59,9,96.02,2,Yearly,DSL,Credit Card,Yes
56,24,79.56,6,Yearly,DSL,Electronic Check,Yes
58,35,67.16,1,Yearly,Fiber,Credit Card,No
45,49,61.18,1,Yearly,DSL,Electronic Check,No
24,35,54.89,3,Monthly,Fiber,Bank Transfer,Yes
26,48,112.95,0,Monthly,None,Electronic Check,Yes
25,36,103.06,2,Two-Year,DSL,Electronic Check,Yes
29,18,116.5,8,Monthly,DSL,Credit Card,Yes
51,49,32.43,6,Monthly,DSL,Credit Card,Yes
50,39,93.09,6,Monthly,None,Electronic Check,Yes
65,32,113.83,3,Monthly,DSL,Credit Card,Yes
40,24,38.12,1,Two-Year,DSL,Credit Card,Yes
41,23,26.65,3,Yearly,DSL,Credit Card,Yes
54,32,94.11,5,Two-Year,Fiber,Electronic Check,Yes
52,37,77.45,2,Yearly,Fiber,Credit Card,No
61,12,104.18,0,Monthly,Fiber,Electronic Check,Yes
57,49,33.98,7,Monthly,None,Credit Card,Yes
39,55,99.53,4,Yearly,DSL,Bank Transfer,Yes
44,13,40.16,4,Monthly,Fiber,Credit Card,Yes
52,23,36.37,3,Two-Year,DSL,Credit Card,No
18,25,36.43,5,Two-Year,None,Electronic Check,Yes
52,35,101.46,2,Monthly,Fiber,Electronic Check,Yes
54,41,86.52,8,Two-Year,None,Credit Card,No
64,30,72.31,4,Two-Year,DSL,Bank Transfer,Yes
31,17,55.88,2,Yearly,DSL,Credit Card,Yes
